number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
52,0.00017445029152440839,2026-03-12 16:41:23.565388,2026-03-12 16:41:29.776191,0 days 00:00:06.210803,128,0.42593091292614416,2,128,0.0028800555372101985,4,1,2,1.1060395500377529e-05,COMPLETE
53,0.00018340441602049395,2026-03-12 16:41:29.846489,2026-03-12 16:41:35.427430,0 days 00:00:05.580941,128,0.42570162132192746,2,128,0.0025459478999287238,4,1,2,1.0199597522801471e-05,COMPLETE
54,0.000169554212334333,2026-03-12 16:41:35.502726,2026-03-12 16:41:40.705135,0 days 00:00:05.202409,128,0.3950449293311572,2,128,0.004920231951763879,4,1,2,1.4939963631783637e-05,COMPLETE
55,0.0010367348149884492,2026-03-12 16:41:40.776309,2026-03-12 16:41:42.398595,0 days 00:00:01.622286,128,0.3732932484131339,2,128,0.004616334878232661,4,1,2,1.2126808814868137e-05,PRUNED
56,0.0004040362109662965,2026-03-12 16:41:42.469602,2026-03-12 16:41:44.150296,0 days 00:00:01.680694,128,0.3546074942776407,2,32,0.001814097211849789,4,1,2,1.751126148744386e-05,PRUNED
57,0.0007848027998988982,2026-03-12 16:41:44.218328,2026-03-12 16:41:45.744939,0 days 00:00:01.526611,128,0.3898482699741739,2,128,0.00443247439682981,4,1,2,1.4494776798028996e-05,PRUNED
58,0.0002991886794916354,2026-03-12 16:41:45.815435,2026-03-12 16:41:47.354142,0 days 00:00:01.538707,128,0.30420619086851974,2,128,0.0009656985935024504,4,1,2,6.081870141193014e-05,PRUNED
59,0.00022604584228247404,2026-03-12 16:41:47.425144,2026-03-12 16:41:52.623389,0 days 00:00:05.198245,32,0.4070812039153311,2,64,0.0011699641532708048,4,1,2,0.0003318613004906304,PRUNED
60,0.18505019322037697,2026-03-12 16:41:52.696841,2026-03-12 16:41:54.304951,0 days 00:00:01.608110,128,0.4454382224758475,2,128,1.8224778911325718e-05,4,1,2,4.156727595457018e-05,PRUNED
61,0.0001768581278156489,2026-03-12 16:41:54.377057,2026-03-12 16:42:01.195478,0 days 00:00:06.818421,128,0.4233718296608694,2,128,0.002948333891521918,4,1,2,2.6859414171336717e-05,COMPLETE
