date,open,high,low,close,volume,amount,sma_5,sma_20,rsi_14,macd_12_26_9,macdh_12_26_9,macds_12_26_9,bbl_5_2.0_2.0,bbm_5_2.0_2.0,bbu_5_2.0_2.0,bbb_5_2.0_2.0,bbp_5_2.0_2.0,imf_1,imf_2,imf_3,imf_4,imf_5,imf_6,imf_7,imf_8,imf_residue
2009-10-30,3305.376,3329.54,3276.318,3280.372,6064706400,19894493062780.8,3317.1422000000002,3232.6585000000005,52.07042040442857,39.58440852975582,1.3104211448238985,38.27398738493192,3191.257573397464,3317.1422000000002,3443.0268266025364,7.5899445373512275,0.3539527780620212,-27.023258780634322,-22.02800835569129,-85.88416803723688,5.684896855235869,45.34169269021012,433.5625547842381,-272.44545046665934,454.573258531553,2748.5904827789846
2009-11-02,3205.835,3394.724,3198.309,3392.803,8198116000,27814592559148.0,3312.8550000000005,3249.372250000001,59.474312489413904,44.3748472493603,4.880687891542699,39.4941593578176,3203.07427818574,3312.8550000000005,3422.635721814261,6.6275597220077955,0.8641258623497866,28.61076504986462,10.64057076241159,-79.88903892635308,8.647521043430828,57.847715884405325,435.4753516133707,-271.0529381372581,453.71059800422694,2748.8124547059006
2009-11-03,3402.528,3447.481,3397.255,3435.425,8379109600,28785802597580.0,3336.9956,3272.5113499999998,61.87845073411164,51.02238929749092,9.222583951738656,41.79980534575226,3181.5675354451737,3336.9956,3492.4236645548267,9.315449175589354,0.8166397274582271,12.99913383260492,38.12315555203099,-65.28435197400083,10.183548391320162,69.78412417746225,437.3886617140815,-269.64981326951954,452.84585558195533,2749.034685994065
2009-11-04,3443.517,3476.34,3415.216,3453.888,8606527200,29725981017753.6,3361.9078,3296.5914500000003,62.9050408335706,57.12195769078426,12.257721876025592,44.864235814758665,3175.7363186746948,3361.9078,3548.079281325305,11.075347237381418,0.747030853880566,-11.465657008991883,49.19832843040014,-47.77235765982265,10.548510137237695,81.0789729109172,439.30007011360004,-268.2360723945375,451.97902885842984,2749.257176612767
2009-11-05,3458.865,3471.83,3432.26,3464.318,8064778400,27938956977131.203,3405.3612000000003,3319.5671000000007,63.50297140561559,62.08188212780033,13.774117050433325,48.307765077367,3255.3125573574985,3405.3612000000003,3555.409842642502,8.812494994216872,0.6964589581142275,-23.230165382942737,43.059828314856325,-32.15540963212748,9.9920127730017,91.66624217283128,441.20716183915573,-266.81171204340757,451.1101154273317,2749.4799265313013
2009-11-06,3491.075,3506.027,3474.364,3483.021,9219031200,32110079269255.203,3445.8910000000005,3335.5327500000003,64.60474548380176,66.75235418383454,14.755671285174024,51.99668289866052,3377.26144267915,3445.8910000000005,3514.520557320851,3.98326919341618,0.7705102688220252,-8.87260857554914,23.402137359637017,-19.424945397834776,8.74159853283158,101.50197630884854,443.10752191798997,-265.3767287472261,450.2391128823443,2749.702935718959
2009-11-09,3487.107,3495.887,3452.614,3495.788,7805090400,27284941359235.2,3466.4880000000003,3352.74055,65.37318528942642,70.66929549059842,14.938090073550313,55.7312054170481,3418.946345021916,3466.4880000000003,3514.0296549780846,2.7429291535458566,0.808150820722442,7.606811243337026,-1.1927541446334167,-8.552925716706422,7.006890799061947,110.56013851651161,444.9987353773266,-263.93111903708706,449.3660188171585,2749.926204145031
2009-11-10,3520.395,3532.186,3501.499,3503.776,8430098400,29537176451558.4,3480.1582000000003,3368.0035000000003,65.87241933759478,73.56999542620451,14.271032007325132,59.29896341887938,3438.3093996246644,3480.1582000000003,3522.0070003753362,2.4049941393661896,0.7821801316665573,22.56797648944211,-27.233666637625735,1.5854147962176808,4.981769217523829,118.83043572985757,446.8783872444042,-262.47487944408346,448.49083082545144,2750.149731778812
2009-11-11,3500.586,3514.829,3468.859,3495.674,7262632000,25387793853968.0,3488.5154,3381.41725,64.85113169020124,74.35790568428638,12.04715381232559,62.31075187196079,3457.6491599430315,3488.5154,3519.381640056969,1.7695917327450388,0.6159616459080758,13.256792923245795,-44.58020853145028,12.11160615358174,2.855050744924567,126.30763757205212,448.7440625464533,-261.0080064993118,447.61354650091226,2750.3735185895925
2009-11-12,3506.952,3529.061,3487.68,3499.992,7996266400,27986868429868.8,3495.6502000000005,3394.4347000000002,65.1611471797122,74.47228659094026,9.729227775183574,64.74305881575668,3480.0170269102464,3495.6502000000005,3511.2833730897546,0.8944357813464349,0.6388649628284767,-1.0303006324798507,-45.52657948976978,24.352236557288702,0.8150870773596376,132.98697892687036,450.59334631071016,-259.53049673387045,446.73416343722647,2750.597564546665
2009-11-13,3489.538,3518.894,3445.36,3518.722,9121016800,32094322476529.6,3502.7904,3408.2853499999997,66.5397557571464,75.20734528884941,8.371429178474173,66.83591611037524,3483.756349373452,3502.7904,3521.824450626548,1.086793581856792,0.9185026170356927,-25.70942984971864,-23.4030330748997,38.86451260265159,-0.9497700890713122,138.86369467808703,452.42382356440214,-258.0423466788489,445.85267922807697,2750.8218696193208
2009-11-16,3541.053,3625.887,3541.053,3625.798,12315732000,44654356454136.0,3528.7924000000003,3423.1173499999995,73.09451810311886,83.46785742779412,13.3055530539351,70.16230437385902,3418.9579285656955,3528.7924000000003,3638.626871434305,6.225045793813473,0.9415990660000646,23.05893007421578,13.550797435862147,53.80137012529582,-2.251198430700847,143.9330490819035,454.2330793347652,-256.54355286534496,444.96909146715257,2751.0464337768503
2009-11-17,3644.962,3649.422,3619.986,3628.354,9739136800,35337035964827.195,3553.708,3435.65635,73.22933378617374,89.19246542921474,15.224128844284564,73.96833658493017,3418.628884574808,3553.708,3688.787115425192,7.602150510125871,0.7763047409846986,-8.393158670799528,28.429630576348384,66.68885576252715,-2.901141157968242,148.19057192862806,456.01869864903153,-255.03411182445285,444.08339774813413,2751.271256988551
2009-11-18,3633.851,3652.809,3612.794,3630.229,8922628000,32391182921812.0,3580.6189999999997,3448.70355,73.33488620471229,92.81069146532218,15.073883904313604,77.73680756100858,3449.8028079439264,3580.6189999999997,3711.435192056073,7.3069037535729615,0.6896171995999364,-13.776541811353242,21.831764050797528,74.29734489770479,-2.7140947975461724,151.6343463248097,457.778266534438,-253.51402008726868,443.1955956647062,2751.496339223712
2009-11-19,3638.073,3653.899,3604.612,3642.437,9494009600,34581331845395.2,3609.1079999999997,3463.4594,74.05224548672139,95.56166979600084,14.259889787993814,81.30178000800703,3507.2477403594,3609.1079999999997,3710.9682596405996,5.644622418647484,0.6636015857292973,-2.3269688537784488,19.28937929648499,71.23910935714338,-1.590501244063697,154.27252434870786,459.5093680182121,-251.9832741848866,442.30568281055605,2751.7216804516243
2009-11-20,3630.576,3658.214,3597.306,3631.013,9475075200,34404121227177.6,3631.5661999999998,3474.3474499999998,72.09758052271572,95.71665658162146,11.531901258891551,84.18475532272991,3618.7654661597176,3631.5661999999998,3644.366933840282,0.7049704251725987,0.47839186382194016,-17.933700970450754,34.142802288998794,54.2836373426737,0.2673924447436989,156.1242139938997,461.20958812758795,-250.44187064840196,441.4136567793694,2751.9472806415797
2009-11-23,3636.529,3666.27,3628.195,3665.509,9399094400,34452465115049.6,3639.5083999999997,3486.91095,74.30328316472234,97.49911452953938,10.65148736544758,86.8476271640918,3608.406830533983,3639.5083999999997,3670.6099694660165,1.7091082667107915,0.9179949829928984,37.841831247316705,33.90711227969456,27.240084246839803,2.627827925701599,157.2127834918562,462.87651188979885,-248.8898060089089,440.51951516482717,2752.173139762874
2009-11-24,3680.746,3698.129,3538.858,3548.08,14756681600,52357886851328.0,3623.4536,3498.57885,57.608434693082565,88.41697059096123,1.255474741495533,87.1614958494657,3534.497114597023,3623.4536,3712.4100854029766,4.9100386108422525,0.07634567250181834,-51.45786925010219,32.79708857179197,-5.295684468538667,5.265663989498586,157.56764296110723,464.5077216483344,-247.32707679750442,439.623255560619,2752.3992577847944
2009-11-25,3541.512,3630.301,3508.057,3629.629,11460232800,41596393317631.2,3623.3336,3513.5939500000004,63.70697148580872,86.79906328192192,-0.2899460540350276,87.08900933595694,3534.4212059525444,3623.3336,3712.2459940474555,4.9077674795086805,0.5354022634720639,62.52011914938917,27.888671437775024,-37.65138297262932,7.948961009106012,157.22503010003132,466.1007705845448,-245.75367954528053,438.72487556042734,2752.625634676636
2009-11-26,3635.79,3646.607,3472.948,3485.773,12788237600,44576893343664.805,3592.0008,3525.53005,50.0329482411971,73.06661666336504,-11.217914138073525,84.28453080143856,3445.1857094375814,3592.0008,3738.815890562418,8.174557787538266,0.13822588130054334,-20.136939736379098,-10.91139907071451,-64.0058674194872,10.446079220828938,156.2209759448606,467.65311867859816,-244.1696107833356,437.82437275793603,2752.8522704076927
2009-11-27,3440.343,3480.931,3367.293,3382.51,8929468800,30204017510688.0,3542.3002,3530.6369500000005,42.91267890397859,53.237405020183814,-24.837700625003805,78.07510564518762,3315.2135069709884,3542.3002,3769.386893029012,12.821425639137628,0.1481735722410081,-70.5622963626605,-51.549771702056965,-79.08309089006606,12.530096476528971,154.58690117791846,469.1621186490144,-242.57486704276155,436.9217447468326,2753.079164947251
2009-11-30,3415.077,3511.765,3415.077,3511.669,8441534400,29643874664913.6,3511.5321999999996,3536.5802500000004,52.095591104068426,47.39828586931344,-24.54145582069934,71.93974169001278,3330.9972198802075,3511.5321999999996,3692.067180119792,10.28240493536082,0.5003788739442889,59.093856481548855,-54.07366135415968,-78.6781359845197,14.002212262013348,152.34606324792074,470.6248028164435,-240.9694448546555,436.0169891208004,2753.306318264608
2009-12-01,3507.559,3566.78,3485.524,3560.831,10151864000,36149072038984.0,3514.0824000000002,3542.8505500000006,55.05888139652305,46.205080997613095,-20.58772855391976,66.79280955153286,3330.629432067471,3514.0824000000002,3697.5353679325294,10.441016860192532,0.6274130381395443,60.74491943704982,-22.310968686690295,-63.19761661572115,14.746894017584014,149.51993041785485,472.03734837745407,-239.35334075010985,435.110103473524,2753.5337303290544
2009-12-02,3578.869,3607.561,3570.287,3597.329,9805203200,35272541822252.805,3507.6224,3550.0226000000002,57.176766414701476,47.65520161382983,-15.310086350162422,62.96528796399225,3343.2286255337694,3507.6224,3672.016174466231,9.373516058412145,0.7728406239569224,25.056156550007767,25.232235538637866,-37.397764541541584,14.670697276740782,146.1358952834726,473.3958446443346,-237.72655126022204,434.201085398689,2753.7614011098813
2009-12-03,3596.952,3603.122,3551.482,3590.876,8997857600,32310190907257.6,3528.6430000000005,3556.3505,56.66828410947697,47.733487548315225,-12.185440332541631,59.918927880856856,3351.810450411263,3528.6430000000005,3705.475549588738,10.022694253215045,0.675965907138522,-45.632061563265694,61.60516502631379,-6.887274191006931,13.672602243398758,142.2310659988527,474.69631233543356,-236.08907291608662,433.2899324899807,2753.98933057638
2009-12-04,3581.627,3646.263,3530.058,3643.491,13413090400,48870474154586.4,3580.8392000000003,3564.374,59.80691462209383,51.44805929130689,-6.776694871639975,58.224754162946866,3483.4598205767793,3580.8392000000003,3678.2185794232214,5.4389138402652115,0.8216892548046969,-16.08374789541215,58.81464833063099,23.177928766008172,11.654166284802699,137.8402136684769,475.9345320553625,-234.44090224879895,432.37664234108456,2754.2175186978457
2009-12-07,3644.625,3672.798,3633.445,3668.832,9122554400,33469119504460.8,3612.2718,3573.0262000000002,61.26226443131953,55.79353790144205,-1.9449730092038493,57.7385109106459,3525.663959091393,3612.2718,3698.879640908607,4.795200677236257,0.8265304815743242,24.586403376902236,22.940209183806818,49.558904665728996,8.518549411283875,132.99656386126173,477.1062273012186,-232.7820357894544,431.4612125456844,2754.4459654435677
2009-12-08,3670.807,3671.042,3590.941,3624.019,8294086400,30057926701241.6,3624.9094000000005,3579.0383500000007,57.310294419931594,54.98746515552011,-2.2008366041006298,57.18830175962074,3560.1466464973105,3624.9094000000005,3689.6721535026904,3.5732067401568695,0.49312567832709814,19.94694293548201,-30.036286177551755,69.89312648152153,4.169001461030095,127.73325231826672,478.2071215700918,-231.11247006914624,430.54364069746526,2754.67467078284
2009-12-09,3579.282,3603.696,3543.424,3554.478,6852150400,24355817849491.2,3616.3392000000003,3581.97855,51.733159000738375,48.18185870039042,-7.20515444738426,55.38701314777468,3526.7463641097884,3616.3392000000003,3705.9320358902123,4.954891172277864,0.1547648068880995,-16.962055620981484,-65.40440540323229,81.92407749513907,-1.4913270666508567,122.08341478055053,479.23293835907947,-229.432201618969,429.6239243901101,2754.9036346849543
2009-12-10,3579.826,3601.289,3544.901,3577.237,5756373600,20591912627743.2,3613.6114,3585.8408,53.33374291200382,44.11628260363159,-9.016584435314478,53.13286703894607,3519.4292399629176,3613.6114,3707.793560037082,5.212633546434031,0.306893365019033,12.597854042242695,-62.75609469824037,83.58009307992592,-8.538131944858506,116.08018698917019,480.17940116527006,-227.7412269700197,428.70206121731013,2755.1328571191993
2009-12-11,3589.408,3614.952,3568.506,3575.02,5455091200,19502060141824.0,3599.9172,3588.6557000000003,53.14884983813246,40.251397825788445,-10.3051753705261,50.556573196314545,3507.5639144122583,3599.9172,3692.2704855877414,5.130856097898115,0.36520674472189757,-10.095888979376475,-20.121658357683067,74.19379557803866,-16.856030586144488,109.75670468517899,481.04223348576386,-226.03954265339374,427.7780487727421,2755.3623380548743
2009-12-14,3572.531,3623.273,3495.639,3612.753,8378502400,30269459681107.203,3588.7014,3588.0034500000006,55.947989933635505,39.77468869413542,-8.625507601743301,48.40019629587872,3531.1195746273065,3588.7014,3646.2832253726933,3.20906193937971,0.7088471479006468,8.71008045912309,30.903299244289098,55.94773681021789,-25.88819585209761,103.1461036096406,481.81715881765007,-224.32714520018564,426.8518846500969,2755.5920774612655
2009-12-15,3594.51,3620.322,3578.283,3583.341,6918649600,24791880776313.6,3580.5658000000003,3585.7528000000007,53.276063999651754,36.60166941783609,-9.43882150243411,46.0404909202702,3538.5404779328037,3580.5658000000003,3622.591122067197,2.3474123596441996,0.5330181883622708,-9.576199427016846,58.35931108736435,31.60768480610585,-34.97282723731862,96.2815195036075,482.499900658022,-222.60403114148824,425.92356644305744,2755.822075307666
2009-12-16,3568.28,3610.685,3550.667,3560.723,5696391200,20283271162837.6,3581.8148,3582.2775000000006,51.24912486967475,31.894287712269488,-11.316962566400576,43.211250278670065,3543.4547805415646,3581.8148,3620.1748194584356,2.141932042853558,0.22508095280225457,14.999261297078757,53.02797499794334,3.6863910290037936,-43.4481242364187,89.19608810813794,483.08618250397626,-220.87019700839855,424.993091745307,2756.0523315633704
